question_bank_id,unique_id,question_bank_name,field_name,question_type,category_id,common_use,data_source,target_group,user_id,created_on,status
1,4534636366,Have you ever attended school?,q_105,select_one,1,1,Admin,,3,0000-00-00 00:00:00,0
2,4534636366,Now I would like you to read this sentence to me.,q_108,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
3,4534636366,"Do you read a newspaper or magazine at least once a week, less than once a week or not at all?",q_110,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
4,4534636366,"Do you listen to the radio at least once a week, less than once a week or not at all?",q_111,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
5,4534636366,"Do you watch television at least once a week, less than once a week or not at all?",q_112,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
6,4534636366,Do you usually go to a cinema hall or theatre to see a movie at least once a month?,q_113,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
7,4534636366,What is your religion?,q_114,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
8,4534636366,"Do you belong to a scheduled caste, a scheduled tribe, other backward class, or none of these?",q_116,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
9,4534636366,Now I would like to ask about all the births you have had during your life. Have you ever given birth?,q_201,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
10,4534636366,Do you have any sons or daughters to whom you have given birth who are now living with you?,q_202,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
11,4534636366,Do you have any sons or daughters to whom you have given birth who are alive but do not live with you?,q_204,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
12,4534636366,Have you ever given birth to a boy or girl who was born alive but later died?,q_206,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
13,4534636366,Have you had any live births since the birth of (NAME OF LAST BIRTH)?,q_222,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
14,4534636366,"Before the birth of (NAME OF FIRST BIRTH), did you have any other live births?",q_223,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
15,4534636366,Are you pregnant now?,q_226,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
16,4534636366,"When you got pregnant, did you want to get pregnant at that time?",q_229,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
17,4534636366,"Have you ever had a pregnancy that miscarried, was aborted, or ended in a stillbirth?",q_231,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
18,4534636366,"Did that pregnancy end in a miscarriage, an abortion, or a stillbirth?",q_234,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
19,4534636366,Where was the abortion performed?,q_238,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
20,4534636366,Who performed the abortion?,q_239,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
21,4534636366,What method was used for the abortion?,q_240,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
22,4534636366,What was the main reason for the abortion?,q_241,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
23,4534636366,Did you have any complication from the abortion?,q_242,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
24,4534636366,Did you seek treatment for the complication?,q_243,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
25,4534636366,Where did you go for treatment?,q_244,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
26,4534636366,Why did you not seek treatment?Any other reason?,q_245,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
27,4534636366,"Since January 2014, have you had any other pregnancies that did not result in a live birth?",q_246,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
28,4534636366,Did you have any pregnancies that terminated in 2013 or earlier that did not result in a live birth?,q_248,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
29,4534636366,Some women undergo an operation to remove the uterus. Have you undergone such an operation?,q_253,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
30,4534636366,Where was this operation performed?,q_255,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
31,4534636366,Why was this operation performed?Any other reason?,q_256,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
32,4534636366,"Women use different methods of protection during their menstrual period to prevent bloodstains from becoming evident. What do you use for protection, if anything?",q_260,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
33,4534636366,"From one menstrual period to the next, are there certain days when a woman is more likely to become pregnant if she has sexual relations?",q_261,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
34,4534636366,"Is this time just before her period begins, during her period, right after her period has ended, or halfway between two periods?",q_262,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
35,4534636366,Do you take a bath during your menstrual period ?,q_264,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
36,4534636366,"During your period, do you usually take a bath in the same bathroom as other household members take a bath?",q_265,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
37,4534636366,What is your current marital status?,q_301,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
38,4534636366,"Is your husband living with you now, or is he staying elsewhere?",q_302,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
39,4534636366,"Besides yourself, does your husband have other wives?",q_305,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
40,4534636366,Have you been married once or more than once?,q_307,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
41,4534636366,"Before you got married, was your (current) husband related to you in any way?",q_310,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
42,4534636366,What type of relationship was it?,q_311,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
43,4534636366,Have you ever had sexual intercourse?,q_315,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
44,4534636366,Have you ever heard of FEMALE STERILIZATION?,q_317_1,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
45,4534636366,Have you ever heard of MALE STERILIZATION?,q_317_2,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
46,4534636366,Have you ever heard of IUD OR PPIUD?,q_317_3,select_one,1,0,Admin,,3,0000-00-00 00:00:00,0
